ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/K8sInfoBootstrap.cs,72,72,Add the default parameter value defined in the overridden method.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/K8sInfoService.cs,8,8,Rename class 'K8sInfoService' to match pascal case naming rules, consider using 'K8SInfoService'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/K8sInfoServiceStub.cs,7,7,Rename class 'K8sInfoServiceStub' to match pascal case naming rules, consider using 'K8SInfoServiceStub'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/Pods/EnvironmentVariablePodNameProviderBase.cs,14,14,Change the visibility of this constructor to 'protected'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/TelemetryInitializers/TelemetryKeyCache.cs,40,40,Possible null reference argument for parameter 'valueFactory' in 'string ConcurrentDictionary<string, string>.GetOrAdd(string key, Func<string, string> valueFactory)'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/TelemetryInitializers/TelemetryProperty.cs,9,9,Rename this field to not shadow the outer class' member with the same name.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/TelemetryInitializers/TelemetryProperty.cs,10,10,Rename this field to not shadow the outer class' member with the same name.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/TelemetryInitializers/TelemetryProperty.cs,12,12,Rename this field to not shadow the outer class' member with the same name.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/TelemetryInitializers/TelemetryProperty.cs,13,13,Rename this field to not shadow the outer class' member with the same name.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/TelemetryInitializers/TelemetryProperty.cs,14,14,Rename this field to not shadow the outer class' member with the same name.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/TelemetryInitializers/TelemetryProperty.cs,15,15,Remove the unused private field 'ProcessString'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/TelemetryInitializers/TelemetryProperty.cs,21,21,Remove the unused private field 'CPU'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/TelemetryInitializers/TelemetryProperty.cs,22,22,Remove the unused private field 'Memory'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/Utilities/IItemsExtensions.cs,7,7,Rename class 'K8sItemsExtensions' to match pascal case naming rules, consider using 'K8SItemsExtensions'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/Utilities/SDKVersionUtils.cs,6,6,Rename class 'SDKVersionUtils' to match pascal case naming rules, consider using 'SdkVersionUtils'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/Utilities/SDKVersionUtils.cs,29,29,Converting null literal or possible null value to non-nullable type.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/Utilities/SDKVersionUtils.cs,30,30,Dereference of a possibly null reference.
ApplicationInsights-Kubernetes-develop:tests/UnitTests/K8sEnvironemntFactoryTests.cs,31,31,Forward the 'token' parameter to the 'Delay' method or pass in 'CancellationToken.None' explicitly to indicate intentionally not propagating the token
ApplicationInsights-Kubernetes-develop:tests/UnitTests/K8sEnvironemntFactoryTests.cs,33,33,Forward the 'token' parameter to the 'Delay' method or pass in 'CancellationToken.None' explicitly to indicate intentionally not propagating the token
ApplicationInsights-Kubernetes-develop:tests/UnitTests/K8sEnvironemntFactoryTests.cs,72,72,Forward the 'token' parameter to the 'Delay' method or pass in 'CancellationToken.None' explicitly to indicate intentionally not propagating the token
ApplicationInsights-Kubernetes-develop:tests/UnitTests/K8sEnvironemntFactoryTests.cs,74,74,Forward the 'token' parameter to the 'Delay' method or pass in 'CancellationToken.None' explicitly to indicate intentionally not propagating the token
ApplicationInsights-Kubernetes-develop:tests/UnitTests/K8sInfoBackgroundServiceTests.cs,58,58,Forward the '_' parameter to the 'Run' method or pass in 'CancellationToken.None' explicitly to indicate intentionally not propagating the token
ApplicationInsights-Kubernetes-develop:tests/UnitTests/KubernetesServiceCollectionBuilderTests.cs,79,79,Add at least one assertion to this test case.
ApplicationInsights-Kubernetes-develop:tests/UnitTests/PodInfoManagerTests.cs,149,149,Avoid unnecessary zero-length array allocations.  Use Array.Empty<IPodNameProvider>() instead.
ApplicationInsights-Kubernetes-develop:tests/UnitTests/PodInfoManagerTests.cs,174,174,Avoid unnecessary zero-length array allocations.  Use Array.Empty<IPodNameProvider>() instead.
"component","startLine","endLine","message"
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes.HostingStartup/ApplicationInsightsForK8sHostingStartup.cs,10,10,Rename class 'ApplicationInsightsForK8sHostingStartup' to match pascal case naming rules, consider using 'ApplicationInsightsForK8SHostingStartup'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/Containers/ContainerIdProviders/CGroupContainerIdProvider.cs,11,11,Remove the unused private field '_logger'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/Containers/ContainerIdProviders/FileBasedContainerIdProvider.cs,17,17,Change the visibility of this constructor to 'protected'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/Containers/ContainerIdProviders/FileBasedContainerIdProvider.cs,49,49,Converting null literal or possible null value to non-nullable type.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/Containers/ContainerIdProviders/Matchers/CGroupV1Matcher.cs,15,15,Rename parameter 'line' to 'value' to match the interface declaration.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/Containers/ContainerIdProviders/Matchers/ContainerDMountInfoMatcher.cs,24,24,Rename parameter 'line' to 'value' to match the interface declaration.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/Containers/ContainerIdProviders/Matchers/DockerEngineMountInfoMatcher.cs,15,15,Rename parameter 'line' to 'value' to match the interface declaration.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/Extensions/KubernetesServiceCollectionBuilder.cs,34,34,Parameter 'skipRegisterBackendService' has no matching param tag in the XML comment for 'KubernetesServiceCollectionBuilder.KubernetesServiceCollectionBuilder(Action<AppInsightsForKubernetesOptions>?, IClusterEnvironmentCheck?, bool)' (but other parameters do)
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/Extensions/KubernetesServiceCollectionBuilder.cs,105,105,Remove this commented out code.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/IK8sClientService.cs,12,12,Rename interface 'IK8sClientService' to match pascal case naming rules, consider using 'IK8SClientService'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/IK8sEnvironment.cs,6,6,Rename interface 'IK8sEnvironment' to match pascal case naming rules, consider using 'IK8SEnvironment'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/IK8sEnvironmentFactory.cs,6,6,Rename interface 'IK8sEnvironmentFactory' to match pascal case naming rules, consider using 'IK8SEnvironmentFactory'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/IK8sEnvironmentFetcher.cs,9,9,Rename interface 'IK8sEnvironmentFetcher' to match pascal case naming rules, consider using 'IK8SEnvironmentFetcher'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/IK8sEnvironmentHolder.cs,3,3,Rename interface 'IK8sEnvironmentHolder' to match pascal case naming rules, consider using 'IK8SEnvironmentHolder'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/IK8sInfoBootstrap.cs,11,11,Rename interface 'IK8sInfoBootstrap' to match pascal case naming rules, consider using 'IK8SInfoBootstrap'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/IK8sInfoService.cs,6,6,Rename interface 'IK8sInfoService' to match pascal case naming rules, consider using 'IK8SInfoService'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/K8sClientService.cs,19,19,Rename class 'K8sClientService' to match pascal case naming rules, consider using 'K8SClientService'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/K8sClientService.cs,26,26,Remove the field '_configuration' and declare it as a local variable in the relevant methods.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/K8sClientService.cs,75,75,Forward the 'cancellationToken' parameter to the 'ListNodeAsync' method or pass in 'CancellationToken.None' explicitly to indicate intentionally not propagating the token
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/K8sEnvironment.cs,11,11,Rename record 'K8sEnvironment' to match pascal case naming rules, consider using 'K8SEnvironment'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/K8sEnvironmentFactory.cs,17,17,Rename class 'K8sEnvironmentFactory' to match pascal case naming rules, consider using 'K8SEnvironmentFactory'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/K8sEnvironmentFactory.cs,20,20,Remove this unread private field '_containerIdHolder' or refactor the code to use its value.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/K8sEnvironmentFetcher.cs,10,10,Rename class 'K8sEnvironmentFetcher' to match pascal case naming rules, consider using 'K8SEnvironmentFetcher'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/K8sEnvironmentHolder.cs,6,6,Rename class 'K8sEnvironmentHolder' to match pascal case naming rules, consider using 'K8SEnvironmentHolder'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/K8sInfoBackgroundService.cs,11,11,Rename class 'K8sInfoBackgroundService' to match pascal case naming rules, consider using 'K8SInfoBackgroundService'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/K8sInfoBootstrap.cs,10,10,Rename class 'K8sInfoBootstrap' to match pascal case naming rules, consider using 'K8SInfoBootstrap'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/K8sInfoBootstrap.cs,56,56,Complete the task associated to this 'TODO' comment.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/K8sInfoBootstrap.cs,72,72,Add the default parameter value defined in the overridden method.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/K8sInfoService.cs,8,8,Rename class 'K8sInfoService' to match pascal case naming rules, consider using 'K8SInfoService'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/K8sInfoServiceStub.cs,7,7,Rename class 'K8sInfoServiceStub' to match pascal case naming rules, consider using 'K8SInfoServiceStub'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/Pods/EnvironmentVariablePodNameProviderBase.cs,14,14,Change the visibility of this constructor to 'protected'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/TelemetryInitializers/TelemetryKeyCache.cs,40,40,Possible null reference argument for parameter 'valueFactory' in 'string ConcurrentDictionary<string, string>.GetOrAdd(string key, Func<string, string> valueFactory)'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/TelemetryInitializers/TelemetryProperty.cs,9,9,Rename this field to not shadow the outer class' member with the same name.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/TelemetryInitializers/TelemetryProperty.cs,10,10,Rename this field to not shadow the outer class' member with the same name.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/TelemetryInitializers/TelemetryProperty.cs,12,12,Rename this field to not shadow the outer class' member with the same name.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/TelemetryInitializers/TelemetryProperty.cs,13,13,Rename this field to not shadow the outer class' member with the same name.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/TelemetryInitializers/TelemetryProperty.cs,14,14,Rename this field to not shadow the outer class' member with the same name.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/TelemetryInitializers/TelemetryProperty.cs,15,15,Remove the unused private field 'ProcessString'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/TelemetryInitializers/TelemetryProperty.cs,21,21,Remove the unused private field 'CPU'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/TelemetryInitializers/TelemetryProperty.cs,22,22,Remove the unused private field 'Memory'.
ApplicationInsights-Kubernetes-develop:src/ApplicationInsights.Kubernetes/Utilities/IItemsExtensions.cs,7,7,Rename class 'K8sItemsExtensions' to match pascal case naming rules, consider using 'K8SItemsExtensions'.
