line_number,modified_ast
19,FieldDeclaration 19 VariableDeclaration 19 GenericName 19 TypeArgumentList 19 IdentifierName 19 VariableDeclarator 19 EqualsValueClause 19 ObjectCreationExpression 19 GenericName 19 TypeArgumentList 19 IdentifierName 19 ArgumentList
120,MethodDeclaration 120 PredefinedType 120 ParameterList 120 Parameter 120 IdentifierName
223,IfStatement 223 NotEqualsExpression 223 IdentifierName 223 NullLiteralExpression
349,IfStatement 349 NotEqualsExpression 349 IdentifierName 349 NullLiteralExpression
403,IfStatement 403 NotEqualsExpression 403 IdentifierName 403 NullLiteralExpression
470,IfStatement 470 NotEqualsExpression 470 IdentifierName 470 NullLiteralExpression
576,IfStatement 576 NotEqualsExpression 576 IdentifierName 576 NullLiteralExpression
619,IfStatement 619 NotEqualsExpression 619 SimpleMemberAccessExpression 619 IdentifierName 619 IdentifierName 619 NullLiteralExpression
638,IfStatement 638 NotEqualsExpression 638 IdentifierName 638 NullLiteralExpression
660,IfStatement 660 NotEqualsExpression 660 IdentifierName 660 NullLiteralExpression
682,IfStatement 682 NotEqualsExpression 682 IdentifierName 682 NullLiteralExpression
723,IfStatement 723 NotEqualsExpression 723 IdentifierName 723 NullLiteralExpression
829,IfStatement 829 NotEqualsExpression 829 IdentifierName 829 NullLiteralExpression
948,IfStatement 948 NotEqualsExpression 948 IdentifierName 948 NullLiteralExpression
20,FieldDeclaration 20 VariableDeclaration 20 GenericName 20 TypeArgumentList 20 IdentifierName 20 IdentifierName 20 VariableDeclarator 20 EqualsValueClause 20 ObjectCreationExpression 20 GenericName 20 TypeArgumentList 20 IdentifierName 20 IdentifierName 20 ArgumentList
21,FieldDeclaration 21 VariableDeclaration 21 GenericName 21 TypeArgumentList 21 IdentifierName 21 IdentifierName 21 VariableDeclarator 21 EqualsValueClause 21 ObjectCreationExpression 21 GenericName 21 TypeArgumentList 21 IdentifierName 21 IdentifierName 21 ArgumentList
22,FieldDeclaration 22 VariableDeclaration 22 GenericName 22 TypeArgumentList 22 IdentifierName 22 IdentifierName 22 VariableDeclarator 22 EqualsValueClause 22 ObjectCreationExpression 22 GenericName 22 TypeArgumentList 22 IdentifierName 22 IdentifierName 22 ArgumentList
62,ExpressionStatement 62 SimpleAssignmentExpression 62 IdentifierName 62 ObjectCreationExpression 62 IdentifierName 62 ArgumentList 62 Argument 62 AddExpression 62 AddExpression 62 StringLiteralExpression 62 SimpleMemberAccessExpression 62 IdentifierName 62 IdentifierName 62 StringLiteralExpression
84,MethodDeclaration 84 PredefinedType 84 ParameterList 84 Parameter 84 IdentifierName 84 ArrowExpressionClause 84 InvocationExpression 84 IdentifierName 84 ArgumentList 84 Argument 84 IdentifierName
90,MethodDeclaration 90 PredefinedType 90 ParameterList 90 Parameter 90 IdentifierName 90 ArrowExpressionClause 90 InvocationExpression 90 IdentifierName 90 ArgumentList 90 Argument 90 IdentifierName
96,MethodDeclaration 96 PredefinedType 96 ParameterList 96 Parameter 96 IdentifierName 96 ArrowExpressionClause 96 InvocationExpression 96 IdentifierName 96 ArgumentList 96 Argument 96 IdentifierName
102,MethodDeclaration 102 PredefinedType 102 ParameterList 102 Parameter 102 IdentifierName 102 ArrowExpressionClause 102 InvocationExpression 102 IdentifierName 102 ArgumentList 102 Argument 102 IdentifierName
108,MethodDeclaration 108 PredefinedType 108 ParameterList 108 Parameter 108 IdentifierName 108 ArrowExpressionClause 108 InvocationExpression 108 IdentifierName 108 ArgumentList 108 Argument 108 IdentifierName
114,MethodDeclaration 114 PredefinedType 114 ParameterList 114 Parameter 114 IdentifierName 114 ArrowExpressionClause 114 InvocationExpression 114 IdentifierName 114 ArgumentList 114 Argument 114 IdentifierName
120,MethodDeclaration 120 PredefinedType 120 ParameterList 120 Parameter 120 IdentifierName 120 ArrowExpressionClause 120 InvocationExpression 120 IdentifierName 120 ArgumentList 120 Argument 120 IdentifierName
126,MethodDeclaration 126 PredefinedType 126 ParameterList 126 Parameter 126 IdentifierName 126 ArrowExpressionClause 126 InvocationExpression 126 IdentifierName 126 ArgumentList 126 Argument 126 IdentifierName
132,MethodDeclaration 132 PredefinedType 132 ParameterList 132 Parameter 132 IdentifierName 132 ArrowExpressionClause 132 InvocationExpression 132 IdentifierName 132 ArgumentList 132 Argument 132 IdentifierName
138,MethodDeclaration 138 PredefinedType 138 ParameterList 138 Parameter 138 IdentifierName 138 ArrowExpressionClause 138 InvocationExpression 138 IdentifierName 138 ArgumentList 138 Argument 138 IdentifierName
144,MethodDeclaration 144 PredefinedType 144 ParameterList 144 Parameter 144 IdentifierName 144 ArrowExpressionClause 144 InvocationExpression 144 IdentifierName 144 ArgumentList 144 Argument 144 IdentifierName
150,MethodDeclaration 150 PredefinedType 150 ParameterList 150 Parameter 150 IdentifierName 150 ArrowExpressionClause 150 InvocationExpression 150 IdentifierName 150 ArgumentList 150 Argument 150 IdentifierName
156,MethodDeclaration 156 PredefinedType 156 ParameterList 156 Parameter 156 IdentifierName 156 ArrowExpressionClause 156 InvocationExpression 156 IdentifierName 156 ArgumentList 156 Argument 156 IdentifierName
162,MethodDeclaration 162 PredefinedType 162 ParameterList 162 Parameter 162 IdentifierName 162 ArrowExpressionClause 162 InvocationExpression 162 IdentifierName 162 ArgumentList 162 Argument 162 IdentifierName
168,MethodDeclaration 168 PredefinedType 168 ParameterList 168 Parameter 168 IdentifierName 168 ArrowExpressionClause 168 InvocationExpression 168 IdentifierName 168 ArgumentList 168 Argument 168 IdentifierName
174,MethodDeclaration 174 PredefinedType 174 ParameterList 174 Parameter 174 IdentifierName 174 ArrowExpressionClause 174 InvocationExpression 174 IdentifierName 174 ArgumentList 174 Argument 174 IdentifierName
180,MethodDeclaration 180 PredefinedType 180 ParameterList 180 Parameter 180 IdentifierName 180 ArrowExpressionClause 180 InvocationExpression 180 IdentifierName 180 ArgumentList 180 Argument 180 IdentifierName
186,MethodDeclaration 186 PredefinedType 186 ParameterList 186 Parameter 186 IdentifierName 186 ArrowExpressionClause 186 InvocationExpression 186 IdentifierName 186 ArgumentList 186 Argument 186 IdentifierName
192,MethodDeclaration 192 PredefinedType 192 ParameterList 192 Parameter 192 IdentifierName 192 ArrowExpressionClause 192 InvocationExpression 192 IdentifierName 192 ArgumentList 192 Argument 192 IdentifierName 192 Argument 192 InvocationExpression 192 SimpleMemberAccessExpression 192 IdentifierName 192 IdentifierName 192 ArgumentList
198,MethodDeclaration 198 PredefinedType 198 ParameterList 198 Parameter 198 GenericName 198 TypeArgumentList 198 IdentifierName 198 ArrowExpressionClause 198 InvocationExpression 198 IdentifierName 198 ArgumentList 198 Argument 198 IdentifierName 198 Argument 198 InvocationExpression 198 SimpleMemberAccessExpression 198 IdentifierName 198 IdentifierName 198 ArgumentList
204,MethodDeclaration 204 PredefinedType 204 ParameterList 204 Parameter 204 IdentifierName 204 ArrowExpressionClause 204 InvocationExpression 204 IdentifierName 204 ArgumentList 204 Argument 204 IdentifierName
210,MethodDeclaration 210 PredefinedType 210 ParameterList 210 Parameter 210 IdentifierName 210 ArrowExpressionClause 210 InvocationExpression 210 IdentifierName 210 ArgumentList 210 Argument 210 IdentifierName
216,MethodDeclaration 216 PredefinedType 216 ParameterList 216 Parameter 216 IdentifierName 216 ArrowExpressionClause 216 InvocationExpression 216 IdentifierName 216 ArgumentList 216 Argument 216 IdentifierName
222,MethodDeclaration 222 PredefinedType 222 ParameterList 222 Parameter 222 IdentifierName 222 ArrowExpressionClause 222 InvocationExpression 222 IdentifierName 222 ArgumentList 222 Argument 222 IdentifierName
228,MethodDeclaration 228 PredefinedType 228 ParameterList 228 Parameter 228 IdentifierName 228 ArrowExpressionClause 228 InvocationExpression 228 IdentifierName 228 ArgumentList 228 Argument 228 IdentifierName
234,MethodDeclaration 234 PredefinedType 234 ParameterList 234 Parameter 234 IdentifierName 234 ArrowExpressionClause 234 InvocationExpression 234 IdentifierName 234 ArgumentList 234 Argument 234 IdentifierName
240,MethodDeclaration 240 PredefinedType 240 ParameterList 240 Parameter 240 IdentifierName 240 ArrowExpressionClause 240 InvocationExpression 240 IdentifierName 240 ArgumentList 240 Argument 240 IdentifierName
246,MethodDeclaration 246 PredefinedType 246 ParameterList 246 Parameter 246 IdentifierName 246 ArrowExpressionClause 246 InvocationExpression 246 IdentifierName 246 ArgumentList 246 Argument 246 IdentifierName
252,MethodDeclaration 252 PredefinedType 252 ParameterList 252 Parameter 252 IdentifierName 252 ArrowExpressionClause 252 InvocationExpression 252 IdentifierName 252 ArgumentList 252 Argument 252 IdentifierName
257,MethodDeclaration 257 PredefinedType 257 ParameterList 257 Parameter 257 GenericName 257 TypeArgumentList 257 IdentifierName 257 IdentifierName 257 ArrowExpressionClause 257 InvocationExpression 257 IdentifierName 257 ArgumentList 257 Argument 257 IdentifierName 257 Argument 257 InvocationExpression 257 SimpleMemberAccessExpression 257 IdentifierName 257 IdentifierName 257 ArgumentList
262,MethodDeclaration 262 PredefinedType 262 ParameterList 262 Parameter 262 GenericName 262 TypeArgumentList 262 PredefinedType 262 IdentifierName 262 ArrowExpressionClause 262 InvocationExpression 262 IdentifierName 262 ArgumentList 262 Argument 262 IdentifierName 262 Argument 262 InvocationExpression 262 SimpleMemberAccessExpression 262 IdentifierName 262 IdentifierName 262 ArgumentList
267,MethodDeclaration 267 PredefinedType 267 ParameterList 267 Parameter 267 GenericName 267 TypeArgumentList 267 PredefinedType 267 IdentifierName 267 ArrowExpressionClause 267 InvocationExpression 267 IdentifierName 267 ArgumentList 267 Argument 267 IdentifierName 267 Argument 267 InvocationExpression 267 SimpleMemberAccessExpression 267 IdentifierName 267 IdentifierName 267 ArgumentList
272,MethodDeclaration 272 PredefinedType 272 ParameterList 272 Parameter 272 GenericName 272 TypeArgumentList 272 PredefinedType 272 IdentifierName 272 ArrowExpressionClause 272 InvocationExpression 272 IdentifierName 272 ArgumentList 272 Argument 272 IdentifierName 272 Argument 272 InvocationExpression 272 SimpleMemberAccessExpression 272 IdentifierName 272 IdentifierName 272 ArgumentList
277,MethodDeclaration 277 PredefinedType 277 ParameterList 277 Parameter 277 GenericName 277 TypeArgumentList 277 PredefinedType 277 IdentifierName 277 ArrowExpressionClause 277 InvocationExpression 277 IdentifierName 277 ArgumentList 277 Argument 277 IdentifierName 277 Argument 277 InvocationExpression 277 SimpleMemberAccessExpression 277 IdentifierName 277 IdentifierName 277 ArgumentList
282,MethodDeclaration 282 PredefinedType 282 ParameterList 282 Parameter 282 GenericName 282 TypeArgumentList 282 PredefinedType 282 IdentifierName 282 ArrowExpressionClause 282 InvocationExpression 282 IdentifierName 282 ArgumentList 282 Argument 282 IdentifierName 282 Argument 282 InvocationExpression 282 SimpleMemberAccessExpression 282 IdentifierName 282 IdentifierName 282 ArgumentList
287,MethodDeclaration 287 PredefinedType 287 ParameterList 287 Parameter 287 GenericName 287 TypeArgumentList 287 PredefinedType 287 IdentifierName 287 ArrowExpressionClause 287 InvocationExpression 287 IdentifierName 287 ArgumentList 287 Argument 287 IdentifierName 287 Argument 287 InvocationExpression 287 SimpleMemberAccessExpression 287 IdentifierName 287 IdentifierName 287 ArgumentList
292,MethodDeclaration 292 PredefinedType 292 ParameterList 292 Parameter 292 GenericName 292 TypeArgumentList 292 PredefinedType 292 IdentifierName 292 ArrowExpressionClause 292 InvocationExpression 292 IdentifierName 292 ArgumentList 292 Argument 292 IdentifierName 292 Argument 292 InvocationExpression 292 SimpleMemberAccessExpression 292 IdentifierName 292 IdentifierName 292 ArgumentList
19,FieldDeclaration 19 VariableDeclaration 19 IdentifierName 19 VariableDeclarator 19 EqualsValueClause 19 ObjectCreationExpression 19 IdentifierName 19 ArgumentList 19 Argument 19 StringLiteralExpression
19,FieldDeclaration 19 VariableDeclaration 19 IdentifierName 19 VariableDeclarator 19 EqualsValueClause 19 ObjectCreationExpression 19 IdentifierName 19 ArgumentList 19 Argument 19 StringLiteralExpression
26,IfStatement 26 LogicalNotExpression 26 InvocationExpression 26 SimpleMemberAccessExpression 26 SimpleMemberAccessExpression 26 IdentifierName 26 IdentifierName 26 IdentifierName 26 ArgumentList
24,ForEachStatement 24 IdentifierName 24 SimpleMemberAccessExpression 24 IdentifierName 24 IdentifierName
60,IfStatement 60 IsExpression 60 IdentifierName 60 IdentifierName
280,ReturnStatement
19,FieldDeclaration 19 VariableDeclaration 19 GenericName 19 TypeArgumentList 19 IdentifierName 19 GenericName 19 TypeArgumentList 19 IdentifierName 19 VariableDeclarator 19 EqualsValueClause 19 ObjectCreationExpression 19 GenericName 19 TypeArgumentList 19 IdentifierName 19 GenericName 19 TypeArgumentList 19 IdentifierName 19 ArgumentList
23,FieldDeclaration 23 VariableDeclaration 23 GenericName 23 TypeArgumentList 23 IdentifierName 23 VariableDeclarator 23 EqualsValueClause 23 ObjectCreationExpression 23 GenericName 23 TypeArgumentList 23 IdentifierName 23 ArgumentList
116,ReturnStatement 116 InvocationExpression 116 SimpleMemberAccessExpression 116 InvocationExpression 116 SimpleMemberAccessExpression 116 SimpleMemberAccessExpression 116 IdentifierName 116 IdentifierName 116 IdentifierName 116 ArgumentList 116 Argument 116 SimpleLambdaExpression 116 Parameter 116 IdentifierName 116 IdentifierName 116 ArgumentList
44,FieldDeclaration 44 VariableDeclaration 44 PredefinedType 44 VariableDeclarator 44 EqualsValueClause 44 FalseLiteralExpression
42,ConstructorDeclaration 42 ParameterList 42 Parameter 42 IdentifierName 42 ThisConstructorInitializer 42 ArgumentList 42 Argument 42 IdentifierName 42 Argument 42 NullLiteralExpression
51,ConstructorDeclaration 51 ParameterList 51 Parameter 51 IdentifierName 51 Parameter 51 IdentifierName
22,MethodDeclaration 22 PredefinedType 22 ParameterList 22 Parameter 22 IdentifierName 22 Parameter 22 PredefinedType 22 Parameter 22 PredefinedType
248,MethodDeclaration 248 PredefinedType 248 ParameterList
267,MethodDeclaration 267 PredefinedType 267 ParameterList
33,FieldDeclaration 33 VariableDeclaration 33 IdentifierName 33 VariableDeclarator 33 EqualsValueClause 33 SimpleMemberAccessExpression 33 IdentifierName 33 IdentifierName
33,FieldDeclaration 33 VariableDeclaration 33 IdentifierName 33 VariableDeclarator 33 EqualsValueClause 33 SimpleMemberAccessExpression 33 IdentifierName 33 IdentifierName
152,Block 153 ExpressionStatement 153 InvocationExpression 153 SimpleMemberAccessExpression 153 IdentifierName 153 IdentifierName 153 ArgumentList 154 ExpressionStatement 154 InvocationExpression 154 IdentifierName 154 ArgumentList
246,ExpressionStatement 246 InvocationExpression 246 SimpleMemberAccessExpression 246 IdentifierName 246 IdentifierName 246 ArgumentList 246 Argument 246 IdentifierName
262,ExpressionStatement 262 InvocationExpression 262 SimpleMemberAccessExpression 262 IdentifierName 262 IdentifierName 262 ArgumentList 262 Argument 262 IdentifierName
32,ObjectInitializerExpression
54,ObjectInitializerExpression
16,LocalDeclarationStatement 16 VariableDeclaration 16 IdentifierName 16 VariableDeclarator 16 EqualsValueClause 16 ParenthesizedLambdaExpression 16 ParameterList 16 ObjectCreationExpression 16 IdentifierName 16 ArgumentList 16 Argument 16 NullLiteralExpression
19,LocalDeclarationStatement 19 VariableDeclaration 19 IdentifierName 19 VariableDeclarator 19 EqualsValueClause 19 ParenthesizedLambdaExpression 19 ParameterList 19 ObjectCreationExpression 19 IdentifierName 19 ArgumentList 19 Argument 19 IdentifierName
22,ExpressionStatement 22 InvocationExpression 22 SimpleMemberAccessExpression 22 IdentifierName 22 GenericName 22 TypeArgumentList 22 IdentifierName 22 ArgumentList 22 Argument 22 StringLiteralExpression 22 Argument 22 IdentifierName
19,LocalDeclarationStatement 19 VariableDeclaration 19 IdentifierName 19 VariableDeclarator 19 EqualsValueClause 19 ParenthesizedLambdaExpression 19 ParameterList 19 ObjectCreationExpression 19 IdentifierName 19 ArgumentList 19 Argument 19 IdentifierName
22,ExpressionStatement 22 InvocationExpression 22 SimpleMemberAccessExpression 22 IdentifierName 22 GenericName 22 TypeArgumentList 22 IdentifierName 22 ArgumentList 22 Argument 22 StringLiteralExpression 22 Argument 22 IdentifierName
19,LocalDeclarationStatement 19 VariableDeclaration 19 IdentifierName 19 VariableDeclarator 19 EqualsValueClause 19 ParenthesizedLambdaExpression 19 ParameterList 19 ObjectCreationExpression 19 IdentifierName 19 ArgumentList 19 Argument 19 IdentifierName
22,ExpressionStatement 22 InvocationExpression 22 SimpleMemberAccessExpression 22 IdentifierName 22 GenericName 22 TypeArgumentList 22 IdentifierName 22 ArgumentList 22 Argument 22 StringLiteralExpression 22 Argument 22 IdentifierName
16,LocalDeclarationStatement 16 VariableDeclaration 16 IdentifierName 16 VariableDeclarator 16 EqualsValueClause 16 ParenthesizedLambdaExpression 16 ParameterList 16 ObjectCreationExpression 16 IdentifierName 16 ArgumentList 16 Argument 16 NameColon 16 IdentifierName 16 NullLiteralExpression
16,LocalDeclarationStatement 16 VariableDeclaration 16 IdentifierName 16 VariableDeclarator 16 EqualsValueClause 16 ParenthesizedLambdaExpression 16 ParameterList 16 ObjectCreationExpression 16 IdentifierName 16 ArgumentList 16 Argument 16 NameColon 16 IdentifierName 16 NullLiteralExpression
27,ExpressionStatement 27 InvocationExpression 27 SimpleMemberAccessExpression 27 IdentifierName 27 GenericName 27 TypeArgumentList 27 IdentifierName 27 ArgumentList 27 Argument 27 StringLiteralExpression 27 Argument 27 IdentifierName
19,FieldDeclaration 19 VariableDeclaration 19 IdentifierName 19 VariableDeclarator 19 EqualsValueClause 19 ObjectCreationExpression 19 IdentifierName
57,FieldDeclaration 57 VariableDeclaration 57 IdentifierName 57 VariableDeclarator 57 EqualsValueClause 57 ObjectCreationExpression 57 IdentifierName
16,FieldDeclaration 16 VariableDeclaration 16 IdentifierName 16 VariableDeclarator 16 EqualsValueClause 16 ObjectCreationExpression 16 IdentifierName
65,FieldDeclaration 65 VariableDeclaration 65 IdentifierName 65 VariableDeclarator 65 EqualsValueClause 65 ObjectCreationExpression 65 IdentifierName
142,FieldDeclaration 142 VariableDeclaration 142 IdentifierName 142 VariableDeclarator 142 EqualsValueClause 142 ObjectCreationExpression 142 IdentifierName 142 ArgumentList
144,FieldDeclaration 144 VariableDeclaration 144 IdentifierName 144 VariableDeclarator 144 EqualsValueClause 144 ObjectCreationExpression 144 IdentifierName
172,FieldDeclaration 172 VariableDeclaration 172 IdentifierName 172 VariableDeclarator 172 EqualsValueClause 172 ObjectCreationExpression 172 IdentifierName 172 ArgumentList
198,FieldDeclaration 198 VariableDeclaration 198 IdentifierName 198 VariableDeclarator 198 EqualsValueClause 198 ObjectCreationExpression 198 IdentifierName 198 ArgumentList
232,FieldDeclaration 232 VariableDeclaration 232 IdentifierName 232 VariableDeclarator 232 EqualsValueClause 232 ObjectCreationExpression 232 IdentifierName 232 ArgumentList
17,FieldDeclaration 17 VariableDeclaration 17 IdentifierName 17 VariableDeclarator 17 EqualsValueClause 17 ObjectCreationExpression 17 IdentifierName 17 ArgumentList
19,FieldDeclaration 19 VariableDeclaration 19 IdentifierName 19 VariableDeclarator 19 EqualsValueClause 19 ObjectCreationExpression 19 IdentifierName
25,FieldDeclaration 25 VariableDeclaration 25 IdentifierName 25 VariableDeclarator 25 EqualsValueClause 25 ObjectCreationExpression 25 IdentifierName 25 ArgumentList
51,FieldDeclaration 51 VariableDeclaration 51 IdentifierName 51 VariableDeclarator 51 EqualsValueClause 51 ObjectCreationExpression 51 IdentifierName 51 ArgumentList
85,FieldDeclaration 85 VariableDeclaration 85 IdentifierName 85 VariableDeclarator 85 EqualsValueClause 85 ObjectCreationExpression 85 IdentifierName 85 ArgumentList
100,FieldDeclaration 100 VariableDeclaration 100 IdentifierName 100 VariableDeclarator 100 EqualsValueClause 100 ObjectCreationExpression 100 IdentifierName 100 ArgumentList
109,FieldDeclaration 109 VariableDeclaration 109 IdentifierName 109 VariableDeclarator 109 EqualsValueClause 109 ObjectCreationExpression 109 IdentifierName 109 ArgumentList
118,FieldDeclaration 118 VariableDeclaration 118 IdentifierName 118 VariableDeclarator 118 EqualsValueClause 118 ObjectCreationExpression 118 IdentifierName 118 ArgumentList
127,FieldDeclaration 127 VariableDeclaration 127 IdentifierName 127 VariableDeclarator 127 EqualsValueClause 127 ObjectCreationExpression 127 IdentifierName
219,FieldDeclaration 219 VariableDeclaration 219 IdentifierName 219 VariableDeclarator 219 EqualsValueClause 219 ElementAccessExpression 219 SimpleMemberAccessExpression 219 IdentifierName 219 IdentifierName 219 BracketedArgumentList 219 Argument 219 StringLiteralExpression
221,FieldDeclaration 221 VariableDeclaration 221 IdentifierName 221 VariableDeclarator 221 EqualsValueClause 221 ElementAccessExpression 221 SimpleMemberAccessExpression 221 IdentifierName 221 IdentifierName 221 BracketedArgumentList 221 Argument 221 StringLiteralExpression
223,FieldDeclaration 223 VariableDeclaration 223 IdentifierName 223 VariableDeclarator 223 EqualsValueClause
226,FieldDeclaration 226 VariableDeclaration 226 IdentifierName 226 VariableDeclarator 226 EqualsValueClause 226 ObjectCreationExpression 226 IdentifierName
518,FieldDeclaration 518 VariableDeclaration 518 IdentifierName 518 VariableDeclarator 518 EqualsValueClause 518 ObjectCreationExpression 518 IdentifierName
595,FieldDeclaration 595 VariableDeclaration 595 IdentifierName 595 VariableDeclarator 595 EqualsValueClause 595 ElementAccessExpression 595 SimpleMemberAccessExpression 595 IdentifierName 595 IdentifierName 595 BracketedArgumentList 595 Argument 595 StringLiteralExpression
597,FieldDeclaration 597 VariableDeclaration 597 IdentifierName 597 VariableDeclarator 597 EqualsValueClause 597 ElementAccessExpression 597 SimpleMemberAccessExpression 597 IdentifierName 597 IdentifierName 597 BracketedArgumentList 597 Argument 597 StringLiteralExpression
599,FieldDeclaration 599 VariableDeclaration 599 IdentifierName 599 VariableDeclarator 599 EqualsValueClause 599 ElementAccessExpression 599 SimpleMemberAccessExpression 599 IdentifierName 599 IdentifierName 599 BracketedArgumentList 599 Argument 599 StringLiteralExpression
893,FieldDeclaration 893 VariableDeclaration 893 IdentifierName 893 VariableDeclarator 893 EqualsValueClause 893 ObjectCreationExpression 893 IdentifierName
13,FieldDeclaration 13 VariableDeclaration 13 IdentifierName 13 VariableDeclarator 13 EqualsValueClause 13 ObjectCreationExpression 13 IdentifierName 13 ArgumentList
15,FieldDeclaration 15 VariableDeclaration 15 IdentifierName 15 VariableDeclarator 15 EqualsValueClause 15 ObjectCreationExpression 15 IdentifierName
21,FieldDeclaration 21 VariableDeclaration 21 IdentifierName 21 VariableDeclarator 21 EqualsValueClause 21 ObjectCreationExpression 21 IdentifierName
60,FieldDeclaration 60 VariableDeclaration 60 IdentifierName 60 VariableDeclarator 60 EqualsValueClause 60 ObjectCreationExpression 60 IdentifierName
14,FieldDeclaration 14 VariableDeclaration 14 IdentifierName 14 VariableDeclarator 14 EqualsValueClause 14 ObjectCreationExpression 14 IdentifierName 14 ArgumentList
16,FieldDeclaration 16 VariableDeclaration 16 IdentifierName 16 VariableDeclarator 16 EqualsValueClause 16 ObjectCreationExpression 16 IdentifierName
18,FieldDeclaration 18 VariableDeclaration 18 IdentifierName 18 VariableDeclarator 18 EqualsValueClause 18 ObjectCreationExpression 18 IdentifierName
28,FieldDeclaration 28 VariableDeclaration 28 IdentifierName 28 VariableDeclarator 28 EqualsValueClause 28 ObjectCreationExpression 28 IdentifierName
17,FieldDeclaration 17 VariableDeclaration 17 IdentifierName 17 VariableDeclarator 17 EqualsValueClause 17 ObjectCreationExpression 17 IdentifierName
31,FieldDeclaration 31 VariableDeclaration 31 IdentifierName 31 VariableDeclarator 31 EqualsValueClause 31 ObjectCreationExpression 31 IdentifierName
17,FieldDeclaration 17 VariableDeclaration 17 IdentifierName 17 VariableDeclarator 17 EqualsValueClause 17 ObjectCreationExpression 17 IdentifierName
22,FieldDeclaration 22 VariableDeclaration 22 IdentifierName 22 VariableDeclarator 22 EqualsValueClause 22 ObjectCreationExpression 22 IdentifierName
20,FieldDeclaration 20 VariableDeclaration 20 IdentifierName 20 VariableDeclarator 20 EqualsValueClause 20 ObjectCreationExpression 20 IdentifierName
44,FieldDeclaration 44 VariableDeclaration 44 IdentifierName 44 VariableDeclarator 44 EqualsValueClause 44 ObjectCreationExpression 44 IdentifierName
16,FieldDeclaration 16 VariableDeclaration 16 IdentifierName 16 VariableDeclarator 16 EqualsValueClause 16 ObjectCreationExpression 16 IdentifierName 16 ArgumentList
18,FieldDeclaration 18 VariableDeclaration 18 IdentifierName 18 VariableDeclarator 18 EqualsValueClause 18 ObjectCreationExpression 18 IdentifierName
27,FieldDeclaration 27 VariableDeclaration 27 IdentifierName 27 VariableDeclarator 27 EqualsValueClause 27 ObjectCreationExpression 27 IdentifierName
68,FieldDeclaration 68 VariableDeclaration 68 IdentifierName 68 VariableDeclarator 68 EqualsValueClause 68 ObjectCreationExpression 68 IdentifierName
77,FieldDeclaration 77 VariableDeclaration 77 IdentifierName 77 VariableDeclarator 77 EqualsValueClause 77 ObjectCreationExpression 77 IdentifierName
16,FieldDeclaration 16 VariableDeclaration 16 IdentifierName 16 VariableDeclarator 16 EqualsValueClause 16 ObjectCreationExpression 16 IdentifierName 16 ArgumentList
18,FieldDeclaration 18 VariableDeclaration 18 IdentifierName 18 VariableDeclarator 18 EqualsValueClause 18 ObjectCreationExpression 18 IdentifierName
28,FieldDeclaration 28 VariableDeclaration 28 IdentifierName 28 VariableDeclarator 28 EqualsValueClause 28 ObjectCreationExpression 28 IdentifierName
16,FieldDeclaration 16 VariableDeclaration 16 IdentifierName 16 VariableDeclarator 16 EqualsValueClause 16 ObjectCreationExpression 16 IdentifierName 16 ArgumentList
18,FieldDeclaration 18 VariableDeclaration 18 IdentifierName 18 VariableDeclarator 18 EqualsValueClause 18 ObjectCreationExpression 18 IdentifierName
31,FieldDeclaration 31 VariableDeclaration 31 IdentifierName 31 VariableDeclarator 31 EqualsValueClause 31 ObjectCreationExpression 31 IdentifierName
22,FieldDeclaration 22 VariableDeclaration 22 IdentifierName 22 VariableDeclarator 22 EqualsValueClause 22 ObjectCreationExpression 22 IdentifierName
28,FieldDeclaration 28 VariableDeclaration 28 IdentifierName 28 VariableDeclarator 28 EqualsValueClause 28 ObjectCreationExpression 28 IdentifierName
39,FieldDeclaration 39 VariableDeclaration 39 IdentifierName 39 VariableDeclarator 39 EqualsValueClause 39 ObjectCreationExpression 39 IdentifierName
69,FieldDeclaration 69 VariableDeclaration 69 IdentifierName 69 VariableDeclarator 69 EqualsValueClause 69 ObjectCreationExpression 69 IdentifierName
91,FieldDeclaration 91 VariableDeclaration 91 IdentifierName 91 VariableDeclarator 91 EqualsValueClause 91 ObjectCreationExpression 91 IdentifierName
113,FieldDeclaration 113 VariableDeclaration 113 IdentifierName 113 VariableDeclarator 113 EqualsValueClause 113 ObjectCreationExpression 113 IdentifierName
142,FieldDeclaration 142 VariableDeclaration 142 IdentifierName 142 VariableDeclarator 142 EqualsValueClause 142 ObjectCreationExpression 142 IdentifierName
18,FieldDeclaration 18 VariableDeclaration 18 IdentifierName 18 VariableDeclarator 18 EqualsValueClause 18 ObjectCreationExpression 18 IdentifierName
34,FieldDeclaration 34 VariableDeclaration 34 IdentifierName 34 VariableDeclarator 34 EqualsValueClause 34 ObjectCreationExpression 34 IdentifierName
23,FieldDeclaration 23 VariableDeclaration 23 IdentifierName 23 VariableDeclarator 23 EqualsValueClause 23 ObjectCreationExpression 23 IdentifierName 23 ArgumentList
25,FieldDeclaration 25 VariableDeclaration 25 IdentifierName 25 VariableDeclarator 25 EqualsValueClause 25 ObjectCreationExpression 25 IdentifierName
68,FieldDeclaration 68 VariableDeclaration 68 IdentifierName 68 VariableDeclarator 68 EqualsValueClause 68 ObjectCreationExpression 68 IdentifierName
23,FieldDeclaration 23 VariableDeclaration 23 IdentifierName 23 VariableDeclarator 23 EqualsValueClause 23 ObjectCreationExpression 23 IdentifierName 23 ArgumentList
