line_number,modified_ast
212,Block
223,Block
228,IfStatement 228 InvocationExpression 228 SimpleMemberAccessExpression 228 IdentifierName 228 IdentifierName 228 ArgumentList 228 Argument 228 IdentifierName 228 Argument 228 SimpleMemberAccessExpression 228 IdentifierName 228 IdentifierName 228 Argument 228 SimpleMemberAccessExpression 228 IdentifierName 228 IdentifierName 228 Argument 228 DeclarationExpression 228 IdentifierName 228 SingleVariableDesignation
236,IfStatement 236 InvocationExpression 236 SimpleMemberAccessExpression 236 IdentifierName 236 IdentifierName 236 ArgumentList 236 Argument 236 IdentifierName 236 Argument 236 SimpleMemberAccessExpression 236 IdentifierName 236 IdentifierName 236 Argument 236 SimpleMemberAccessExpression 236 IdentifierName 236 IdentifierName 236 Argument 236 DeclarationExpression 236 IdentifierName 236 SingleVariableDesignation
254,IfStatement 254 InvocationExpression 254 SimpleMemberAccessExpression 254 PredefinedType 254 IdentifierName 254 ArgumentList 254 Argument 254 IdentifierName 254 Argument 254 DeclarationExpression 254 IdentifierName 254 SingleVariableDesignation
26,IfStatement 26 LogicalNotExpression 26 ParenthesizedExpression 26 IsPatternExpression 26 ThisExpression 26 DeclarationPattern 26 IdentifierName 26 SingleVariableDesignation
33,LocalDeclarationStatement 33 VariableDeclaration 33 IdentifierName 33 VariableDeclarator 33 EqualsValueClause 33 InvocationExpression 33 SimpleMemberAccessExpression 33 IdentifierName 33 IdentifierName 33 ArgumentList 33 Argument 33 IdentifierName 33 Argument 33 IdentifierName
17,FieldDeclaration 17 VariableDeclaration 17 IdentifierName 17 VariableDeclarator 17 EqualsValueClause 17 ObjectCreationExpression 17 IdentifierName 17 ArgumentList
15,FieldDeclaration 15 VariableDeclaration 15 IdentifierName 15 VariableDeclarator
15,FieldDeclaration 15 VariableDeclaration 15 IdentifierName 15 VariableDeclarator
16,FieldDeclaration 16 VariableDeclaration 16 GenericName 16 TypeArgumentList 16 PredefinedType 16 IdentifierName 16 VariableDeclarator 16 EqualsValueClause 16 ObjectCreationExpression 16 GenericName 16 TypeArgumentList 16 PredefinedType 16 IdentifierName 16 ArgumentList
48,IfStatement 48 SimpleMemberAccessExpression 48 IdentifierName 48 IdentifierName
50,IfStatement 50 LogicalNotExpression 50 InvocationExpression 50 SimpleMemberAccessExpression 50 IdentifierName 50 IdentifierName 50 ArgumentList 50 Argument 50 SimpleMemberAccessExpression 50 IdentifierName 50 IdentifierName
15,FieldDeclaration 15 VariableDeclaration 15 IdentifierName 15 VariableDeclarator
16,FieldDeclaration 16 VariableDeclaration 16 IdentifierName 16 VariableDeclarator
45,LocalDeclarationStatement 45 VariableDeclaration 45 IdentifierName 45 VariableDeclarator 45 EqualsValueClause 45 AwaitExpression 45 InvocationExpression 45 SimpleMemberAccessExpression 45 IdentifierName 45 IdentifierName 45 ArgumentList 45 Argument 45 IdentifierName 45 Argument 45 IdentifierName
44,Parameter 44 PredefinedType
85,Block
